pop,awd,aws,att,et
100,21.09,1.08,20.76,27.0
100,20.76,1.11,19.98,28.0
100,20.87,1.07,20.64,28.0
100,20.93,1.11,20.64,30.5
100,20.83,1.1,20.41,28.5
200,21.42,1.01,22.67,35.5
200,21.36,1.01,22.98,37.0
200,21.8,1.0,23.35,37.0
200,21.42,1.01,22.79,38.5
200,21.83,1.0,23.59,36.0
300,22.0,0.98,24.61,42.5
300,21.6,0.97,24.19,43.5
300,23.39,0.94,25.83,43.5
300,23.07,0.97,25.19,43.5
300,22.07,0.96,25.0,45.5
400,25.88,0.92,26.66,48.0
400,24.11,0.92,26.57,49.5
400,25.59,0.92,26.93,49.5
400,23.2,0.92,26.6,50.0
400,22.82,0.95,25.8,50.5
500,26.01,0.91,27.32,53.0
500,24.17,0.91,26.94,55.0
500,25.21,0.91,27.49,55.0
500,22.1,0.94,25.48,57.0
500,24.54,0.92,27.73,55.5
600,25.5,0.91,27.42,58.5
600,23.71,0.92,27.23,59.0
600,23.89,0.92,27.12,61.0
600,22.19,0.94,25.96,61.5
600,23.99,0.92,27.38,61.0
700,26.25,0.89,28.42,63.0
700,24.1,0.91,27.72,65.0
700,26.14,0.9,27.91,65.0
700,24.68,0.9,28.22,65.5
700,27.11,0.88,28.95,63.5
800,28.97,0.88,29.09,66.0
800,24.77,0.88,28.47,68.5
800,25.08,0.9,28.22,70.5
800,22.84,0.91,27.0,73.5
800,22.47,0.92,26.61,74.0
900,27.37,0.87,29.35,70.5
900,28.43,0.87,29.32,70.5
900,24.09,0.89,28.58,74.5
900,24.13,0.89,28.14,75.0
900,22.89,0.9,27.29,78.0
1000,29.14,0.86,29.64,73.5
1000,25.8,0.88,28.88,78.0
1000,25.14,0.89,28.7,78.5
1000,25.13,0.88,28.68,80.5
1000,24.43,0.88,28.57,79.5
1100,25.52,0.87,29.06,85.5
1100,26.41,0.86,29.64,86.0
1100,23.27,0.9,27.48,88.5
1100,22.72,0.9,27.41,90.5
1100,24.78,0.88,29.34,86.0
1200,28.16,0.87,29.38,83.5
1200,29.38,0.87,29.58,85.0
1200,27.83,0.87,29.32,86.5
1200,24.22,0.88,28.76,88.5
1200,25.31,0.88,28.86,88.5
1300,27.44,0.86,29.76,89.0
1300,25.27,0.87,28.91,93.0
1300,25.35,0.88,29.16,93.5
1300,24.36,0.88,28.43,96.5
1300,25.63,0.87,29.3,94.5
1400,29.56,0.87,29.45,92.0
1400,29.05,0.86,29.62,93.5
1400,24.99,0.87,29.12,99.0
1400,23.25,0.89,28.5,107.5
1400,25.01,0.88,29.16,99.0
1500,29.14,0.86,29.82,96.5
1500,25.47,0.87,29.13,103.5
1500,25.36,0.87,29.61,104.0
1500,23.22,0.89,27.95,112.0
1500,25.67,0.88,29.07,102.5
1600,28.12,0.86,29.95,102.5
1600,25.38,0.86,29.47,108.0
1600,26.4,0.87,29.63,108.5
1600,25.33,0.88,28.71,109.0
1600,27.91,0.86,29.79,102.0
1700,30.05,0.85,30.17,105.0
1700,29.43,0.86,30.03,106.0
1700,28.99,0.85,30.21,106.5
1700,23.26,0.88,28.37,122.0
1700,25.78,0.87,29.24,114.5
1800,28.69,0.86,30.04,110.5
1800,26.79,0.87,29.56,115.5
1800,25.15,0.87,29.38,117.5
1800,25.85,0.87,29.25,118.5
1800,24.92,0.87,29.27,118.0
1900,29.53,0.85,30.03,113.0
1900,26.39,0.87,29.5,122.5
1900,26.03,0.86,29.91,124.0
1900,23.5,0.88,28.54,134.0
1900,29.14,0.86,30.07,115.0
2000,28.59,0.85,29.99,118.5
2000,26.05,0.86,29.71,127.5
2000,25.65,0.86,29.69,128.0
2000,23.52,0.89,28.4,138.5
2000,25.17,0.87,29.4,129.5
2100,29.04,0.85,30.2,123.5
2100,25.65,0.86,29.79,131.5
2100,25.8,0.86,29.83,134.0
2100,23.26,0.88,28.43,143.5
2100,24.9,0.86,29.39,134.5
2200,28.96,0.85,30.16,125.5
2200,28.79,0.85,30.5,130.5
2200,25.36,0.87,29.57,137.0
2200,25.3,0.87,29.63,137.5
2200,26.21,0.86,29.78,136.5
2300,29.25,0.85,30.38,131.0
2300,29.17,0.85,30.19,131.5
2300,25.4,0.86,29.56,143.0
2300,25.85,0.86,29.68,143.0
2300,25.02,0.86,29.58,142.0
2400,29.31,0.84,30.7,137.0
2400,28.78,0.85,30.26,138.5
2400,23.35,0.89,27.98,161.0
2400,23.35,0.88,28.26,164.5
2400,25.82,0.86,29.93,147.0
2500,29.88,0.84,30.46,142.0
2500,25.49,0.86,29.67,152.0
2500,25.33,0.86,29.83,152.5
2500,23.4,0.88,28.41,165.0
2500,25.6,0.86,29.94,150.5
2600,30.66,0.84,30.59,145.5
2600,25.53,0.86,29.61,157.0
2600,25.95,0.87,29.63,158.0
2600,25.25,0.86,29.6,158.5
2600,28.6,0.85,30.36,145.5
2700,30.13,0.84,30.45,150.0
2700,25.83,0.85,30.05,164.5
2700,23.44,0.88,28.23,176.0
2700,23.44,0.88,28.61,178.0
2700,30.1,0.84,30.31,151.5
2800,29.8,0.85,30.35,153.0
2800,29.88,0.85,30.33,153.5
2800,28.44,0.85,30.35,155.0
2800,26.16,0.85,30.09,167.0
2800,29.74,0.84,30.51,152.0
2900,29.36,0.85,30.42,159.0
2900,28.52,0.85,30.09,160.5
2900,25.95,0.86,29.75,168.5
2900,25.92,0.86,29.6,172.0
2900,26.01,0.85,30.28,169.5
3000,30.97,0.85,30.39,160.5
3000,29.93,0.84,30.47,161.0
3000,25.5,0.86,29.86,175.5
3000,26.33,0.86,29.9,176.5
3000,25.56,0.86,29.89,178.0
3100,26.12,0.86,29.85,180.0
3100,25.69,0.86,30.02,182.5
3100,23.41,0.88,28.62,199.0
3100,23.47,0.88,28.62,200.0
3100,29.6,0.83,30.76,167.5
3200,30.72,0.85,30.47,169.0
3200,25.7,0.86,29.6,185.5
3200,25.7,0.86,30.09,187.5
3200,23.51,0.88,28.68,204.5
3200,30.04,0.84,30.54,170.5
3300,30.29,0.84,30.61,175.5
3300,29.89,0.84,30.48,177.0
3300,25.91,0.85,29.91,190.5
3300,25.69,0.85,29.94,192.0
3300,26.13,0.85,30.25,191.0
3400,28.98,0.85,30.35,179.5
3400,29.81,0.85,30.36,182.0
3400,25.79,0.86,29.97,195.5
3400,25.84,0.86,30.08,197.0
3400,25.21,0.86,29.65,195.5
