1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0
1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0
1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0
2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,1888.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,1888.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0
2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2360.0,2360.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,2360.0,2360.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0,2950.0
3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,2950.0,2950.0,2950.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,2950.0,2950.0,2950.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0,3688.0
4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,3688.0,3688.0,3688.0,2950.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,2950.0,3688.0,3688.0,3688.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0,4610.0
5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,4610.0,4610.0,4610.0,3688.0,2950.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,2950.0,3688.0,4610.0,4610.0,4610.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0,5763.0
7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,5763.0,5763.0,5763.0,4610.0,3688.0,2950.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,2950.0,3688.0,4610.0,5763.0,5763.0,5763.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0,7204.0
9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,7204.0,7204.0,7204.0,5763.0,4610.0,3688.0,2950.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,315.0,2950.0,3688.0,4610.0,5763.0,7204.0,7204.0,7204.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0,9005.0
11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,9005.0,9005.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,9005.0,9005.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0,11257.0
14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,11257.0,11257.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,11257.0,11257.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0,14072.0
17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,14072.0,14072.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,14072.0,14072.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0,17590.0
21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,17590.0,17590.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,772.0,772.0,772.0,772.0,772.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,772.0,772.0,772.0,772.0,772.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,17590.0,17590.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0,21988.0
27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,21988.0,21988.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,21988.0,21988.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,966.0,966.0,966.0,966.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,966.0,966.0,966.0,966.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,21988.0,21988.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0,21988.0,21988.0,27485.0,27485.0,27485.0,27485.0,27485.0,27485.0
34357.0,34357.0,34357.0,34357.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,34357.0,34357.0,34357.0,34357.0,34357.0,27485.0,27485.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,1208.0,1208.0,1208.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1208.0,1208.0,1208.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,27485.0,27485.0,34357.0,34357.0,34357.0,34357.0,34357.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,34357.0,34357.0,34357.0,34357.0
42947.0,42947.0,42947.0,42947.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,42947.0,42947.0,42947.0,42947.0,34357.0,34357.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,1510.0,1510.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1510.0,1510.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,34357.0,34357.0,42947.0,42947.0,42947.0,42947.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,42947.0,42947.0,42947.0,42947.0
42947.0,53684.0,53684.0,42947.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,42947.0,53684.0,53684.0,42947.0,34357.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,1510.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,81.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,81.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,1510.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,34357.0,42947.0,53684.0,53684.0,42947.0,34357.0,27485.0,21988.0,21988.0,27485.0,34357.0,42947.0,53684.0,53684.0,42947.0
67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,53684.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,2360.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,2360.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,53684.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0,67106.0
83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,67106.0,53684.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,2360.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,2360.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,53684.0,67106.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0,83883.0
104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,83883.0,67106.0,53684.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,2360.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,2360.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,53684.0,67106.0,83883.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0,104854.0
131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,104854.0,83883.0,67106.0,53684.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,2360.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,2360.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,53684.0,67106.0,83883.0,104854.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0,131068.0
163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,131068.0,104854.0,83883.0,67106.0,53684.0,42947.0,34357.0,27485.0,21988.0,17590.0,14072.0,11257.0,9005.0,7204.0,5763.0,4610.0,3688.0,2950.0,2360.0,1888.0,1510.0,1208.0,966.0,772.0,617.0,493.0,394.0,315.0,252.0,201.0,160.0,128.0,102.0,81.0,64.0,51.0,40.0,32.0,25.0,20.0,16.0,12.0,9.0,7.0,5.0,4.0,4.0,5.0,7.0,9.0,12.0,16.0,20.0,25.0,32.0,40.0,51.0,64.0,81.0,102.0,128.0,160.0,201.0,252.0,315.0,394.0,493.0,617.0,772.0,966.0,1208.0,1510.0,1888.0,2360.0,2950.0,3688.0,4610.0,5763.0,7204.0,9005.0,11257.0,14072.0,17590.0,21988.0,27485.0,34357.0,42947.0,53684.0,67106.0,83883.0,104854.0,131068.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0,163836.0
204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0,204796.0
255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0,255996.0
319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0,319996.0
399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0,399996.0
499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0,499996.0
